局名,ppb
西部コミュニティセンター,40
国設大阪,37
茨木市役所,41
高石中学校,33
池田市立南畑会館,40
大東市役所,45
府立修徳学院,40
貝塚市消防署,45
島本町役場,25
富田林市役所,43
南海団地,55
泉南市役所,51
緑ケ丘小学校,40
三日市公民館,36
藤井寺市役所,41
岸和田中央公園,39
佐野中学校,32
泉大津市役所,34
豊能町役場,38
此花区役所,36
平尾小学校,38
野中小学校,39
桃谷中学校,39
大宮中学校,37
聖賢小学校,38
清江小学校,35
摂陽中学校,36
今宮中学校,37
九条南小学校,37
茨田北小学校,43
南港中央公園,25
出来島小学校,32
少林寺,36
浜寺,35
三宝,36
若松台,41
石津,35
登美丘,40
深井,38
美原,36
金岡南,40
高石消防署高師浜出張所,33
豊中市千成,40
豊中市千里,32
豊中市役所,35
吹田市垂水,38
吹田市北消防署,40
吹田市高野台,39
東大阪市西保健センター,44
東大阪市六万寺,42
東大阪市環境衛生検査センター,37
楠葉,34
枚方市役所,39
王仁公園,42
高槻北,39
庄所,36
八尾市保健所,41
成田,
寝屋川市役所,38
