局名,ppb
西部コミュニティセンター,20
国設大阪,19
茨木市役所,16
高石中学校,29
池田市立南畑会館,25
大東市役所,21
府立修徳学院,17
貝塚市消防署,29
島本町役場,14
富田林市役所,29
南海団地,25
泉南市役所,28
緑ケ丘小学校,29
三日市公民館,14
藤井寺市役所,32
岸和田中央公園,31
佐野中学校,29
泉大津市役所,41
豊能町役場,23
此花区役所,21
平尾小学校,23
野中小学校,21
桃谷中学校,21
大宮中学校,23
聖賢小学校,19
清江小学校,23
摂陽中学校,23
今宮中学校,23
九条南小学校,17
茨田北小学校,22
南港中央公園,16
出来島小学校,12
少林寺,26
浜寺,26
三宝,21
若松台,28
石津,26
登美丘,34
深井,31
美原,23
金岡南,30
高石消防署高師浜出張所,23
豊中市千成,20
豊中市千里,13
豊中市役所,19
吹田市垂水,19
吹田市北消防署,19
吹田市高野台,20
東大阪市西保健センター,25
東大阪市六万寺,24
東大阪市環境衛生検査センター,19
楠葉,18
枚方市役所,22
王仁公園,20
高槻北,29
庄所,19
八尾市保健所,25
成田,
寝屋川市役所,19
