局名,ppb
西部コミュニティセンター,54
国設大阪,44
茨木市役所,49
高石中学校,32
池田市立南畑会館,59
大東市役所,56
府立修徳学院,37
貝塚市消防署,35
島本町役場,65
富田林市役所,37
南海団地,32
泉南市役所,36
緑ケ丘小学校,33
三日市公民館,33
藤井寺市役所,44
岸和田中央公園,38
佐野中学校,35
泉大津市役所,36
豊能町役場,62
此花区役所,42
平尾小学校,42
野中小学校,47
桃谷中学校,41
大宮中学校,54
聖賢小学校,50
清江小学校,39
摂陽中学校,43
今宮中学校,42
九条南小学校,41
茨田北小学校,55
南港中央公園,35
出来島小学校,30
少林寺,38
浜寺,38
三宝,32
若松台,35
石津,34
登美丘,39
深井,37
美原,32
金岡南,39
高石消防署高師浜出張所,30
豊中市千成,49
豊中市千里,51
豊中市役所,52
吹田市垂水,52
吹田市北消防署,55
吹田市高野台,53
東大阪市西保健センター,50
東大阪市六万寺,52
東大阪市環境衛生検査センター,49
楠葉,69
枚方市役所,71
王仁公園,65
高槻北,62
庄所,64
八尾市保健所,49
成田,
寝屋川市役所,55
