局名,ppb
西部コミュニティセンター,18
国設大阪,18
茨木市役所,8
高石中学校,33
池田市立南畑会館,31
大東市役所,15
府立修徳学院,25
貝塚市消防署,38
島本町役場,18
富田林市役所,37
南海団地,38
泉南市役所,41
緑ケ丘小学校,38
三日市公民館,36
藤井寺市役所,34
岸和田中央公園,38
佐野中学校,****
泉大津市役所,41
豊能町役場,38
此花区役所,20
平尾小学校,25
野中小学校,19
桃谷中学校,23
大宮中学校,20
聖賢小学校,21
清江小学校,28
摂陽中学校,18
今宮中学校,21
九条南小学校,17
茨田北小学校,16
南港中央公園,22
出来島小学校,12
少林寺,35
浜寺,37
三宝,26
若松台,37
石津,26
登美丘,36
深井,35
美原,30
金岡南,37
高石消防署高師浜出張所,24
豊中市千成,21
豊中市千里,16
豊中市役所,19
吹田市垂水,20
吹田市北消防署,21
吹田市高野台,21
東大阪市西保健センター,23
東大阪市六万寺,23
東大阪市環境衛生検査センター,15
楠葉,22
枚方市役所,20
王仁公園,****
高槻北,****
庄所,25
八尾市保健所,29
成田,
寝屋川市役所,12
