局名,ppb
西部コミュニティセンター,22
国設大阪,18
茨木市役所,19
高石中学校,18
池田市立南畑会館,30
大東市役所,21
府立修徳学院,18
貝塚市消防署,23
島本町役場,23
富田林市役所,14
南海団地,33
泉南市役所,37
緑ケ丘小学校,19
三日市公民館,10
藤井寺市役所,11
岸和田中央公園,17
佐野中学校,31
泉大津市役所,16
豊能町役場,36
此花区役所,27
平尾小学校,10
野中小学校,18
桃谷中学校,16
大宮中学校,16
聖賢小学校,17
清江小学校,8
摂陽中学校,7
今宮中学校,10
九条南小学校,12
茨田北小学校,18
南港中央公園,16
出来島小学校,14
少林寺,16
浜寺,20
三宝,12
若松台,14
石津,12
登美丘,14
深井,16
美原,6
金岡南,14
高石消防署高師浜出張所,10
豊中市千成,19
豊中市千里,22
豊中市役所,27
吹田市垂水,22
吹田市北消防署,29
吹田市高野台,28
東大阪市西保健センター,22
東大阪市六万寺,15
東大阪市環境衛生検査センター,19
楠葉,30
枚方市役所,26
王仁公園,****
高槻北,****
庄所,24
八尾市保健所,11
成田,
寝屋川市役所,14
