局名,ppb
西部コミュニティセンター,23
国設大阪,27
茨木市役所,21
高石中学校,16
池田市立南畑会館,26
大東市役所,25
府立修徳学院,18
貝塚市消防署,26
島本町役場,13
富田林市役所,17
南海団地,31
泉南市役所,32
緑ケ丘小学校,19
三日市公民館,17
藤井寺市役所,17
岸和田中央公園,20
佐野中学校,30
泉大津市役所,20
豊能町役場,32
此花区役所,26
平尾小学校,26
野中小学校,27
桃谷中学校,17
大宮中学校,21
聖賢小学校,22
清江小学校,27
摂陽中学校,13
今宮中学校,22
九条南小学校,27
茨田北小学校,24
南港中央公園,27
出来島小学校,23
少林寺,26
浜寺,26
三宝,33
若松台,20
石津,27
登美丘,23
深井,20
美原,20
金岡南,26
高石消防署高師浜出張所,17
豊中市千成,25
豊中市千里,21
豊中市役所,22
吹田市垂水,26
吹田市北消防署,20
吹田市高野台,14
東大阪市西保健センター,17
東大阪市六万寺,26
東大阪市環境衛生検査センター,20
楠葉,14
枚方市役所,24
王仁公園,23
高槻北,****
庄所,20
八尾市保健所,24
成田,
寝屋川市役所,23
