局名,ppb
西部コミュニティセンター,28
国設大阪,18
茨木市役所,5
高石中学校,19
池田市立南畑会館,24
大東市役所,23
府立修徳学院,18
貝塚市消防署,20
島本町役場,14
富田林市役所,20
南海団地,32
泉南市役所,23
緑ケ丘小学校,23
三日市公民館,18
藤井寺市役所,21
岸和田中央公園,23
佐野中学校,16
泉大津市役所,17
豊能町役場,15
此花区役所,32
平尾小学校,26
野中小学校,29
桃谷中学校,25
大宮中学校,26
聖賢小学校,23
清江小学校,22
摂陽中学校,26
今宮中学校,19
九条南小学校,28
茨田北小学校,26
南港中央公園,33
出来島小学校,20
少林寺,18
浜寺,24
三宝,22
若松台,19
石津,24
登美丘,28
深井,19
美原,12
金岡南,24
高石消防署高師浜出張所,19
豊中市千成,28
豊中市千里,11
豊中市役所,17
吹田市垂水,25
吹田市北消防署,16
吹田市高野台,15
東大阪市西保健センター,24
東大阪市六万寺,26
東大阪市環境衛生検査センター,15
楠葉,18
枚方市役所,13
王仁公園,17
高槻北,****
庄所,8
八尾市保健所,23
成田,
寝屋川市役所,19
