局名,ppb
西部コミュニティセンター,32
国設大阪,29
茨木市役所,22
高石中学校,35
池田市立南畑会館,29
大東市役所,33
府立修徳学院,34
貝塚市消防署,****
島本町役場,26
富田林市役所,33
南海団地,****
泉南市役所,35
緑ケ丘小学校,****
三日市公民館,38
藤井寺市役所,37
岸和田中央公園,31
佐野中学校,33
泉大津市役所,29
豊能町役場,38
此花区役所,20
平尾小学校,26
野中小学校,29
桃谷中学校,32
大宮中学校,****
聖賢小学校,33
清江小学校,30
摂陽中学校,31
今宮中学校,****
九条南小学校,17
茨田北小学校,31
南港中央公園,17
出来島小学校,16
少林寺,35
浜寺,41
三宝,37
若松台,38
石津,38
登美丘,35
深井,38
美原,30
金岡南,40
高石消防署高師浜出張所,26
豊中市千成,30
豊中市千里,****
豊中市役所,****
吹田市垂水,28
吹田市北消防署,29
吹田市高野台,27
東大阪市西保健センター,32
東大阪市六万寺,34
東大阪市環境衛生検査センター,27
楠葉,28
枚方市役所,29
王仁公園,30
高槻北,****
庄所,****
八尾市保健所,39
成田,
寝屋川市役所,30
