局名,ppb
西部コミュニティセンター,3
国設大阪,3
茨木市役所,1
高石中学校,6
池田市立南畑会館,4
大東市役所,10
府立修徳学院,11
貝塚市消防署,13
島本町役場,1
富田林市役所,11
南海団地,22
泉南市役所,18
緑ケ丘小学校,16
三日市公民館,13
藤井寺市役所,11
岸和田中央公園,8
佐野中学校,12
泉大津市役所,6
豊能町役場,6
此花区役所,3
平尾小学校,3
野中小学校,3
桃谷中学校,5
大宮中学校,2
聖賢小学校,2
清江小学校,3
摂陽中学校,5
今宮中学校,5
九条南小学校,2
茨田北小学校,4
南港中央公園,5
出来島小学校,0
少林寺,7
浜寺,8
三宝,7
若松台,15
石津,4
登美丘,16
深井,13
美原,9
金岡南,14
高石消防署高師浜出張所,7
豊中市千成,2
豊中市千里,1
豊中市役所,3
吹田市垂水,3
吹田市北消防署,3
吹田市高野台,1
東大阪市西保健センター,6
東大阪市六万寺,15
東大阪市環境衛生検査センター,0
楠葉,3
枚方市役所,1
王仁公園,****
高槻北,****
庄所,2
八尾市保健所,11
成田,
寝屋川市役所,
