局名,ppb
西部コミュニティセンター,12
国設大阪,
茨木市役所,11
高石中学校,14
池田市立南畑会館,23
大東市役所,18
府立修徳学院,16
貝塚市消防署,20
島本町役場,12
富田林市役所,17
南海団地,35
泉南市役所,
緑ケ丘小学校,15
三日市公民館,
藤井寺市役所,17
岸和田中央公園,
佐野中学校,
泉大津市役所,21
豊能町役場,16
此花区役所,10
平尾小学校,21
野中小学校,14
桃谷中学校,21
大宮中学校,13
聖賢小学校,17
清江小学校,14
摂陽中学校,11
今宮中学校,21
九条南小学校,12
茨田北小学校,17
南港中央公園,13
出来島小学校,13
少林寺,17
浜寺,20
三宝,14
若松台,15
石津,16
登美丘,15
深井,18
美原,11
金岡南,21
高石消防署高師浜出張所,16
豊中市千成,9
豊中市千里,8
豊中市役所,12
吹田市垂水,
吹田市北消防署,
吹田市高野台,
東大阪市西保健センター,22
東大阪市六万寺,21
東大阪市環境衛生検査センター,12
楠葉,
枚方市役所,
王仁公園,
高槻北,
庄所,
八尾市保健所,13
成田,
寝屋川市役所,
