局名,ppb
西部コミュニティセンター,35
国設大阪,
茨木市役所,36
高石中学校,32
池田市立南畑会館,43
大東市役所,34
府立修徳学院,38
貝塚市消防署,38
島本町役場,38
富田林市役所,40
南海団地,39
泉南市役所,
緑ケ丘小学校,35
三日市公民館,
藤井寺市役所,37
岸和田中央公園,
佐野中学校,
泉大津市役所,39
豊能町役場,42
此花区役所,37
平尾小学校,37
野中小学校,37
桃谷中学校,38
大宮中学校,39
聖賢小学校,39
清江小学校,36
摂陽中学校,35
今宮中学校,34
九条南小学校,34
茨田北小学校,39
南港中央公園,26
出来島小学校,27
少林寺,36
浜寺,38
三宝,38
若松台,39
石津,34
登美丘,38
深井,42
美原,30
金岡南,42
高石消防署高師浜出張所,28
豊中市千成,40
豊中市千里,41
豊中市役所,38
吹田市垂水,
吹田市北消防署,
吹田市高野台,
東大阪市西保健センター,38
東大阪市六万寺,34
東大阪市環境衛生検査センター,38
楠葉,
枚方市役所,
王仁公園,
高槻北,
庄所,
八尾市保健所,38
成田,
寝屋川市役所,
