局名,ppb
西部コミュニティセンター,29
国設大阪,25
茨木市役所,28
高石中学校,29
池田市立南畑会館,36
大東市役所,31
府立修徳学院,30
貝塚市消防署,36
島本町役場,30
富田林市役所,34
南海団地,35
泉南市役所,37
緑ケ丘小学校,36
三日市公民館,35
藤井寺市役所,30
岸和田中央公園,34
佐野中学校,32
泉大津市役所,36
豊能町役場,35
此花区役所,33
平尾小学校,24
野中小学校,33
桃谷中学校,27
大宮中学校,33
聖賢小学校,32
清江小学校,25
摂陽中学校,10
今宮中学校,22
九条南小学校,24
茨田北小学校,33
南港中央公園,22
出来島小学校,22
少林寺,30
浜寺,35
三宝,23
若松台,35
石津,28
登美丘,29
深井,33
美原,27
金岡南,34
高石消防署高師浜出張所,26
豊中市千成,35
豊中市千里,35
豊中市役所,34
吹田市垂水,33
吹田市北消防署,37
吹田市高野台,36
東大阪市西保健センター,****
東大阪市六万寺,27
東大阪市環境衛生検査センター,30
楠葉,32
枚方市役所,31
王仁公園,****
高槻北,
庄所,
八尾市保健所,29
成田,
寝屋川市役所,
