局名,ppb
西部コミュニティセンター,35
国設大阪,36
茨木市役所,34
高石中学校,33
池田市立南畑会館,37
大東市役所,36
府立修徳学院,33
貝塚市消防署,41
島本町役場,33
富田林市役所,32
南海団地,42
泉南市役所,44
緑ケ丘小学校,41
三日市公民館,37
藤井寺市役所,35
岸和田中央公園,40
佐野中学校,43
泉大津市役所,42
豊能町役場,37
此花区役所,39
平尾小学校,37
野中小学校,39
桃谷中学校,37
大宮中学校,36
聖賢小学校,37
清江小学校,35
摂陽中学校,36
今宮中学校,35
九条南小学校,35
茨田北小学校,37
南港中央公園,36
出来島小学校,36
少林寺,32
浜寺,36
三宝,35
若松台,30
石津,33
登美丘,32
深井,34
美原,33
金岡南,33
高石消防署高師浜出張所,35
豊中市千成,38
豊中市千里,36
豊中市役所,37
吹田市垂水,35
吹田市北消防署,38
吹田市高野台,36
東大阪市西保健センター,37
東大阪市六万寺,35
東大阪市環境衛生検査センター,44
楠葉,37
枚方市役所,35
王仁公園,****
高槻北,****
庄所,36
八尾市保健所,37
成田,
寝屋川市役所,
