局名,ppb
西部コミュニティセンター,33
国設大阪,
茨木市役所,19
高石中学校,37
池田市立南畑会館,35
大東市役所,26
府立修徳学院,25
貝塚市消防署,36
島本町役場,14
富田林市役所,23
南海団地,35
泉南市役所,
緑ケ丘小学校,34
三日市公民館,
藤井寺市役所,28
岸和田中央公園,
佐野中学校,
泉大津市役所,38
豊能町役場,39
此花区役所,26
平尾小学校,37
野中小学校,29
桃谷中学校,37
大宮中学校,31
聖賢小学校,33
清江小学校,34
摂陽中学校,31
今宮中学校,33
九条南小学校,28
茨田北小学校,33
南港中央公園,26
出来島小学校,17
少林寺,37
浜寺,41
三宝,38
若松台,38
石津,39
登美丘,38
深井,42
美原,35
金岡南,41
高石消防署高師浜出張所,38
豊中市千成,32
豊中市千里,29
豊中市役所,19
吹田市垂水,
吹田市北消防署,
吹田市高野台,
東大阪市西保健センター,39
東大阪市六万寺,29
東大阪市環境衛生検査センター,27
楠葉,
枚方市役所,
王仁公園,
高槻北,
庄所,
八尾市保健所,37
成田,
寝屋川市役所,
