局名,ppb
西部コミュニティセンター,29
国設大阪,30
茨木市役所,35
高石中学校,29
池田市立南畑会館,35
大東市役所,22
府立修徳学院,7
貝塚市消防署,34
島本町役場,31
富田林市役所,31
南海団地,37
泉南市役所,39
緑ケ丘小学校,30
三日市公民館,7
藤井寺市役所,9
岸和田中央公園,34
佐野中学校,37
泉大津市役所,36
豊能町役場,38
此花区役所,27
平尾小学校,24
野中小学校,30
桃谷中学校,32
大宮中学校,31
聖賢小学校,33
清江小学校,25
摂陽中学校,26
今宮中学校,24
九条南小学校,27
茨田北小学校,27
南港中央公園,28
出来島小学校,14
少林寺,28
浜寺,30
三宝,28
若松台,31
石津,27
登美丘,30
深井,31
美原,19
金岡南,32
高石消防署高師浜出張所,26
豊中市千成,33
豊中市千里,35
豊中市役所,35
吹田市垂水,35
吹田市北消防署,38
吹田市高野台,36
東大阪市西保健センター,27
東大阪市六万寺,23
東大阪市環境衛生検査センター,1
楠葉,35
枚方市役所,30
王仁公園,****
高槻北,****
庄所,35
八尾市保健所,12
成田,
寝屋川市役所,
