局名,ppb
西部コミュニティセンター,30
国設大阪,
茨木市役所,18
高石中学校,37
池田市立南畑会館,33
大東市役所,28
府立修徳学院,33
貝塚市消防署,42
島本町役場,26
富田林市役所,38
南海団地,36
泉南市役所,
緑ケ丘小学校,40
三日市公民館,38
藤井寺市役所,****
岸和田中央公園,40
佐野中学校,34
泉大津市役所,42
豊能町役場,38
此花区役所,33
平尾小学校,32
野中小学校,30
桃谷中学校,35
大宮中学校,28
聖賢小学校,27
清江小学校,29
摂陽中学校,16
今宮中学校,32
九条南小学校,****
茨田北小学校,23
南港中央公園,31
出来島小学校,19
少林寺,35
浜寺,41
三宝,33
若松台,40
石津,35
登美丘,35
深井,41
美原,33
金岡南,37
高石消防署高師浜出張所,31
豊中市千成,31
豊中市千里,27
豊中市役所,29
吹田市垂水,29
吹田市北消防署,30
吹田市高野台,31
東大阪市西保健センター,32
東大阪市六万寺,26
東大阪市環境衛生検査センター,31
楠葉,
枚方市役所,
王仁公園,
高槻北,
庄所,
八尾市保健所,38
成田,
寝屋川市役所,
