局名,ppb
西部コミュニティセンター,35
国設大阪,28
茨木市役所,30
高石中学校,37
池田市立南畑会館,33
大東市役所,39
府立修徳学院,38
貝塚市消防署,43
島本町役場,31
富田林市役所,47
南海団地,42
泉南市役所,41
緑ケ丘小学校,47
三日市公民館,48
藤井寺市役所,39
岸和田中央公園,43
佐野中学校,39
泉大津市役所,45
豊能町役場,44
此花区役所,27
平尾小学校,29
野中小学校,31
桃谷中学校,32
大宮中学校,32
聖賢小学校,32
清江小学校,34
摂陽中学校,32
今宮中学校,27
九条南小学校,26
茨田北小学校,38
南港中央公園,33
出来島小学校,20
少林寺,35
浜寺,41
三宝,36
若松台,46
石津,37
登美丘,40
深井,41
美原,37
金岡南,37
高石消防署高師浜出張所,33
豊中市千成,31
豊中市千里,32
豊中市役所,31
吹田市垂水,33
吹田市北消防署,36
吹田市高野台,34
東大阪市西保健センター,39
東大阪市六万寺,36
東大阪市環境衛生検査センター,37
楠葉,33
枚方市役所,33
王仁公園,****
高槻北,****
庄所,35
八尾市保健所,41
成田,
寝屋川市役所,
