局名,ppb
西部コミュニティセンター,17
国設大阪,22
茨木市役所,21
高石中学校,29
池田市立南畑会館,28
大東市役所,13
府立修徳学院,23
貝塚市消防署,35
島本町役場,18
富田林市役所,29
南海団地,36
泉南市役所,37
緑ケ丘小学校,28
三日市公民館,24
藤井寺市役所,24
岸和田中央公園,31
佐野中学校,37
泉大津市役所,26
豊能町役場,28
此花区役所,28
平尾小学校,20
野中小学校,19
桃谷中学校,27
大宮中学校,19
聖賢小学校,19
清江小学校,17
摂陽中学校,24
今宮中学校,21
九条南小学校,21
茨田北小学校,19
南港中央公園,24
出来島小学校,5
少林寺,30
浜寺,34
三宝,23
若松台,29
石津,19
登美丘,29
深井,32
美原,23
金岡南,28
高石消防署高師浜出張所,22
豊中市千成,11
豊中市千里,25
豊中市役所,24
吹田市垂水,21
吹田市北消防署,28
吹田市高野台,28
東大阪市西保健センター,26
東大阪市六万寺,12
東大阪市環境衛生検査センター,22
楠葉,****
枚方市役所,23
王仁公園,****
高槻北,
庄所,
八尾市保健所,21
成田,
寝屋川市役所,
