局名,ppb
西部コミュニティセンター,33
国設大阪,32
茨木市役所,34
高石中学校,32
池田市立南畑会館,39
大東市役所,35
府立修徳学院,34
貝塚市消防署,39
島本町役場,32
富田林市役所,36
南海団地,34
泉南市役所,40
緑ケ丘小学校,36
三日市公民館,34
藤井寺市役所,34
岸和田中央公園,****
佐野中学校,38
泉大津市役所,38
豊能町役場,38
此花区役所,33
平尾小学校,35
野中小学校,36
桃谷中学校,35
大宮中学校,32
聖賢小学校,34
清江小学校,33
摂陽中学校,32
今宮中学校,33
九条南小学校,32
茨田北小学校,35
南港中央公園,29
出来島小学校,30
少林寺,35
浜寺,37
三宝,37
若松台,29
石津,35
登美丘,35
深井,39
美原,33
金岡南,37
高石消防署高師浜出張所,28
豊中市千成,37
豊中市千里,37
豊中市役所,36
吹田市垂水,35
吹田市北消防署,40
吹田市高野台,39
東大阪市西保健センター,37
東大阪市六万寺,33
東大阪市環境衛生検査センター,27
楠葉,36
枚方市役所,34
王仁公園,****
高槻北,****
庄所,39
八尾市保健所,34
成田,
寝屋川市役所,
