局名,ppb
西部コミュニティセンター,33
国設大阪,27
茨木市役所,29
高石中学校,33
池田市立南畑会館,36
大東市役所,26
府立修徳学院,30
貝塚市消防署,37
島本町役場,35
富田林市役所,36
南海団地,39
泉南市役所,40
緑ケ丘小学校,36
三日市公民館,37
藤井寺市役所,32
岸和田中央公園,34
佐野中学校,35
泉大津市役所,37
豊能町役場,38
此花区役所,23
平尾小学校,23
野中小学校,29
桃谷中学校,27
大宮中学校,32
聖賢小学校,26
清江小学校,27
摂陽中学校,26
今宮中学校,21
九条南小学校,25
茨田北小学校,31
南港中央公園,24
出来島小学校,23
少林寺,32
浜寺,37
三宝,28
若松台,33
石津,34
登美丘,35
深井,37
美原,34
金岡南,****
高石消防署高師浜出張所,30
豊中市千成,33
豊中市千里,34
豊中市役所,35
吹田市垂水,34
吹田市北消防署,37
吹田市高野台,35
東大阪市西保健センター,27
東大阪市六万寺,25
東大阪市環境衛生検査センター,32
楠葉,35
枚方市役所,30
王仁公園,****
高槻北,****
庄所,38
八尾市保健所,27
成田,
寝屋川市役所,
