局名,ppb
西部コミュニティセンター,19
国設大阪,23
茨木市役所,14
高石中学校,12
池田市立南畑会館,32
大東市役所,24
府立修徳学院,12
貝塚市消防署,22
島本町役場,6
富田林市役所,9
南海団地,27
泉南市役所,22
緑ケ丘小学校,17
三日市公民館,9
藤井寺市役所,15
岸和田中央公園,15
佐野中学校,19
泉大津市役所,16
豊能町役場,33
此花区役所,22
平尾小学校,28
野中小学校,22
桃谷中学校,20
大宮中学校,17
聖賢小学校,22
清江小学校,21
摂陽中学校,14
今宮中学校,25
九条南小学校,22
茨田北小学校,21
南港中央公園,18
出来島小学校,18
少林寺,12
浜寺,18
三宝,13
若松台,11
石津,13
登美丘,18
深井,16
美原,7
金岡南,13
高石消防署高師浜出張所,12
豊中市千成,23
豊中市千里,12
豊中市役所,26
吹田市垂水,
吹田市北消防署,
吹田市高野台,
東大阪市西保健センター,22
東大阪市六万寺,23
東大阪市環境衛生検査センター,19
楠葉,8
枚方市役所,13
王仁公園,18
高槻北,23
庄所,9
八尾市保健所,18
成田,
寝屋川市役所,19
