局名,ppb
西部コミュニティセンター,42
国設大阪,44
茨木市役所,45
高石中学校,38
池田市立南畑会館,52
大東市役所,45
府立修徳学院,40
貝塚市消防署,****
島本町役場,39
富田林市役所,45
南海団地,****
泉南市役所,44
緑ケ丘小学校,44
三日市公民館,41
藤井寺市役所,43
岸和田中央公園,38
佐野中学校,39
泉大津市役所,30
豊能町役場,49
此花区役所,38
平尾小学校,****
野中小学校,47
桃谷中学校,47
大宮中学校,46
聖賢小学校,44
清江小学校,45
摂陽中学校,47
今宮中学校,51
九条南小学校,45
茨田北小学校,43
南港中央公園,36
出来島小学校,40
少林寺,43
浜寺,40
三宝,47
若松台,43
石津,32
登美丘,48
深井,49
美原,33
金岡南,47
高石消防署高師浜出張所,26
豊中市千成,45
豊中市千里,43
豊中市役所,47
吹田市垂水,47
吹田市北消防署,49
吹田市高野台,49
東大阪市西保健センター,48
東大阪市六万寺,44
東大阪市環境衛生検査センター,42
楠葉,44
枚方市役所,46
王仁公園,42
高槻北,46
庄所,51
八尾市保健所,****
成田,
寝屋川市役所,45
