局名,ppb
西部コミュニティセンター,15
国設大阪,19
茨木市役所,16
高石中学校,14
池田市立南畑会館,26
大東市役所,23
府立修徳学院,13
貝塚市消防署,15
島本町役場,8
富田林市役所,18
南海団地,20
泉南市役所,18
緑ケ丘小学校,11
三日市公民館,8
藤井寺市役所,11
岸和田中央公園,14
佐野中学校,16
泉大津市役所,16
豊能町役場,19
此花区役所,12
平尾小学校,19
野中小学校,15
桃谷中学校,22
大宮中学校,11
聖賢小学校,18
清江小学校,16
摂陽中学校,15
今宮中学校,20
九条南小学校,20
茨田北小学校,12
南港中央公園,1
出来島小学校,16
少林寺,13
浜寺,17
三宝,16
若松台,18
石津,13
登美丘,19
深井,16
美原,8
金岡南,17
高石消防署高師浜出張所,15
豊中市千成,16
豊中市千里,12
豊中市役所,22
吹田市垂水,14
吹田市北消防署,21
吹田市高野台,16
東大阪市西保健センター,20
東大阪市六万寺,19
東大阪市環境衛生検査センター,7
楠葉,15
枚方市役所,15
王仁公園,9
高槻北,21
庄所,15
八尾市保健所,14
成田,
寝屋川市役所,12
