局名,ppb
西部コミュニティセンター,37
国設大阪,50
茨木市役所,36
高石中学校,39
池田市立南畑会館,59
大東市役所,36
府立修徳学院,32
貝塚市消防署,56
島本町役場,39
富田林市役所,82
南海団地,46
泉南市役所,65
緑ケ丘小学校,67
三日市公民館,81
藤井寺市役所,50
岸和田中央公園,58
佐野中学校,60
泉大津市役所,52
豊能町役場,43
此花区役所,57
平尾小学校,46
野中小学校,55
桃谷中学校,53
大宮中学校,49
聖賢小学校,42
清江小学校,45
摂陽中学校,47
今宮中学校,54
九条南小学校,48
茨田北小学校,39
南港中央公園,48
出来島小学校,35
少林寺,56
浜寺,60
三宝,50
若松台,71
石津,52
登美丘,70
深井,65
美原,54
金岡南,60
高石消防署高師浜出張所,46
豊中市千成,60
豊中市千里,36
豊中市役所,56
吹田市垂水,51
吹田市北消防署,31
吹田市高野台,39
東大阪市西保健センター,35
東大阪市六万寺,34
東大阪市環境衛生検査センター,28
楠葉,37
枚方市役所,37
王仁公園,36
高槻北,38
庄所,38
八尾市保健所,36
成田,
寝屋川市役所,31
