局名,ppb
西部コミュニティセンター,11
国設大阪,18
茨木市役所,18
高石中学校,21
池田市立南畑会館,27
大東市役所,26
府立修徳学院,20
貝塚市消防署,18
島本町役場,15
富田林市役所,14
南海団地,21
泉南市役所,21
緑ケ丘小学校,16
三日市公民館,13
藤井寺市役所,21
岸和田中央公園,20
佐野中学校,20
泉大津市役所,23
豊能町役場,23
此花区役所,17
平尾小学校,26
野中小学校,24
桃谷中学校,23
大宮中学校,17
聖賢小学校,18
清江小学校,24
摂陽中学校,19
今宮中学校,24
九条南小学校,22
茨田北小学校,22
南港中央公園,14
出来島小学校,21
少林寺,19
浜寺,24
三宝,25
若松台,19
石津,24
登美丘,23
深井,23
美原,13
金岡南,21
高石消防署高師浜出張所,21
豊中市千成,23
豊中市千里,21
豊中市役所,27
吹田市垂水,23
吹田市北消防署,23
吹田市高野台,21
東大阪市西保健センター,23
東大阪市六万寺,20
東大阪市環境衛生検査センター,17
楠葉,14
枚方市役所,13
王仁公園,16
高槻北,****
庄所,17
八尾市保健所,20
成田,
寝屋川市役所,20
