局名,ppb
西部コミュニティセンター,32
国設大阪,30
茨木市役所,30
高石中学校,28
池田市立南畑会館,34
大東市役所,29
府立修徳学院,25
貝塚市消防署,15
島本町役場,29
富田林市役所,11
南海団地,22
泉南市役所,20
緑ケ丘小学校,9
三日市公民館,5
藤井寺市役所,26
岸和田中央公園,27
佐野中学校,23
泉大津市役所,29
豊能町役場,33
此花区役所,****
平尾小学校,30
野中小学校,32
桃谷中学校,24
大宮中学校,****
聖賢小学校,****
清江小学校,28
摂陽中学校,****
今宮中学校,30
九条南小学校,****
茨田北小学校,****
南港中央公園,24
出来島小学校,30
少林寺,29
浜寺,31
三宝,29
若松台,24
石津,28
登美丘,30
深井,30
美原,22
金岡南,30
高石消防署高師浜出張所,29
豊中市千成,32
豊中市千里,
豊中市役所,32
吹田市垂水,29
吹田市北消防署,31
吹田市高野台,31
東大阪市西保健センター,28
東大阪市六万寺,25
東大阪市環境衛生検査センター,21
楠葉,31
枚方市役所,28
王仁公園,28
高槻北,33
庄所,30
八尾市保健所,25
成田,
寝屋川市役所,29
