局名,ppb
西部コミュニティセンター,37
国設大阪,43
茨木市役所,44
高石中学校,39
池田市立南畑会館,42
大東市役所,41
府立修徳学院,32
貝塚市消防署,40
島本町役場,36
富田林市役所,39
南海団地,43
泉南市役所,42
緑ケ丘小学校,44
三日市公民館,39
藤井寺市役所,39
岸和田中央公園,42
佐野中学校,41
泉大津市役所,39
豊能町役場,49
此花区役所,37
平尾小学校,42
野中小学校,33
桃谷中学校,44
大宮中学校,42
聖賢小学校,44
清江小学校,42
摂陽中学校,34
今宮中学校,42
九条南小学校,40
茨田北小学校,42
南港中央公園,32
出来島小学校,34
少林寺,42
浜寺,43
三宝,43
若松台,42
石津,40
登美丘,44
深井,45
美原,32
金岡南,41
高石消防署高師浜出張所,36
豊中市千成,40
豊中市千里,40
豊中市役所,32
吹田市垂水,44
吹田市北消防署,44
吹田市高野台,43
東大阪市西保健センター,39
東大阪市六万寺,36
東大阪市環境衛生検査センター,36
楠葉,41
枚方市役所,41
王仁公園,39
高槻北,44
庄所,47
八尾市保健所,38
成田,
寝屋川市役所,40
