局名,ppb
西部コミュニティセンター,39
国設大阪,44
茨木市役所,40
高石中学校,53
池田市立南畑会館,41
大東市役所,46
府立修徳学院,39
貝塚市消防署,46
島本町役場,35
富田林市役所,48
南海団地,44
泉南市役所,45
緑ケ丘小学校,49
三日市公民館,46
藤井寺市役所,48
岸和田中央公園,53
佐野中学校,****
泉大津市役所,****
豊能町役場,41
此花区役所,37
平尾小学校,42
野中小学校,43
桃谷中学校,46
大宮中学校,43
聖賢小学校,44
清江小学校,44
摂陽中学校,45
今宮中学校,44
九条南小学校,41
茨田北小学校,44
南港中央公園,37
出来島小学校,33
少林寺,50
浜寺,55
三宝,50
若松台,52
石津,49
登美丘,55
深井,56
美原,36
金岡南,54
高石消防署高師浜出張所,50
豊中市千成,44
豊中市千里,38
豊中市役所,38
吹田市垂水,41
吹田市北消防署,43
吹田市高野台,41
東大阪市西保健センター,50
東大阪市六万寺,45
東大阪市環境衛生検査センター,43
楠葉,37
枚方市役所,41
王仁公園,42
高槻北,40
庄所,****
八尾市保健所,47
成田,
寝屋川市役所,40
