局名,ppb
西部コミュニティセンター,24
国設大阪,34
茨木市役所,23
高石中学校,27
池田市立南畑会館,31
大東市役所,25
府立修徳学院,23
貝塚市消防署,42
島本町役場,18
富田林市役所,27
南海団地,42
泉南市役所,27
緑ケ丘小学校,33
三日市公民館,22
藤井寺市役所,20
岸和田中央公園,34
佐野中学校,27
泉大津市役所,33
豊能町役場,12
此花区役所,28
平尾小学校,41
野中小学校,29
桃谷中学校,35
大宮中学校,25
聖賢小学校,30
清江小学校,19
摂陽中学校,18
今宮中学校,40
九条南小学校,34
茨田北小学校,26
南港中央公園,27
出来島小学校,20
少林寺,26
浜寺,23
三宝,20
若松台,38
石津,26
登美丘,30
深井,28
美原,13
金岡南,22
高石消防署高師浜出張所,26
豊中市千成,15
豊中市千里,28
豊中市役所,23
吹田市垂水,26
吹田市北消防署,24
吹田市高野台,20
東大阪市西保健センター,29
東大阪市六万寺,37
東大阪市環境衛生検査センター,21
楠葉,17
枚方市役所,18
王仁公園,17
高槻北,28
庄所,24
八尾市保健所,15
成田,
寝屋川市役所,21
