局名,ppb
西部コミュニティセンター,31
国設大阪,32
茨木市役所,36
高石中学校,32
池田市立南畑会館,35
大東市役所,34
府立修徳学院,28
貝塚市消防署,42
島本町役場,17
富田林市役所,32
南海団地,52
泉南市役所,43
緑ケ丘小学校,44
三日市公民館,32
藤井寺市役所,33
岸和田中央公園,39
佐野中学校,40
泉大津市役所,35
豊能町役場,36
此花区役所,33
平尾小学校,31
野中小学校,34
桃谷中学校,33
大宮中学校,32
聖賢小学校,32
清江小学校,31
摂陽中学校,32
今宮中学校,30
九条南小学校,31
茨田北小学校,33
南港中央公園,26
出来島小学校,28
少林寺,33
浜寺,34
三宝,31
若松台,34
石津,33
登美丘,33
深井,33
美原,22
金岡南,36
高石消防署高師浜出張所,33
豊中市千成,34
豊中市千里,27
豊中市役所,32
吹田市垂水,34
吹田市北消防署,36
吹田市高野台,36
東大阪市西保健センター,34
東大阪市六万寺,32
東大阪市環境衛生検査センター,30
楠葉,30
枚方市役所,32
王仁公園,28
高槻北,****
庄所,32
八尾市保健所,31
成田,
寝屋川市役所,26
