局名,ppb
西部コミュニティセンター,26
国設大阪,****
茨木市役所,26
高石中学校,31
池田市立南畑会館,39
大東市役所,30
府立修徳学院,****
貝塚市消防署,39
島本町役場,16
富田林市役所,32
南海団地,51
泉南市役所,50
緑ケ丘小学校,47
三日市公民館,****
藤井寺市役所,31
岸和田中央公園,36
佐野中学校,****
泉大津市役所,29
豊能町役場,12
此花区役所,27
平尾小学校,22
野中小学校,31
桃谷中学校,30
大宮中学校,31
聖賢小学校,37
清江小学校,33
摂陽中学校,27
今宮中学校,30
九条南小学校,31
茨田北小学校,22
南港中央公園,22
出来島小学校,26
少林寺,30
浜寺,30
三宝,27
若松台,37
石津,30
登美丘,42
深井,39
美原,26
金岡南,37
高石消防署高師浜出張所,****
豊中市千成,29
豊中市千里,33
豊中市役所,34
吹田市垂水,38
吹田市北消防署,32
吹田市高野台,26
東大阪市西保健センター,26
東大阪市六万寺,27
東大阪市環境衛生検査センター,26
楠葉,18
枚方市役所,19
王仁公園,17
高槻北,29
庄所,28
八尾市保健所,30
成田,
寝屋川市役所,28
