局名,ppb
西部コミュニティセンター,22
国設大阪,25
茨木市役所,14
高石中学校,15
池田市立南畑会館,20
大東市役所,25
府立修徳学院,16
貝塚市消防署,7
島本町役場,25
富田林市役所,12
南海団地,14
泉南市役所,10
緑ケ丘小学校,11
三日市公民館,9
藤井寺市役所,18
岸和田中央公園,11
佐野中学校,6
泉大津市役所,15
豊能町役場,6
此花区役所,19
平尾小学校,22
野中小学校,23
桃谷中学校,25
大宮中学校,19
聖賢小学校,25
清江小学校,15
摂陽中学校,12
今宮中学校,23
九条南小学校,21
茨田北小学校,21
南港中央公園,5
出来島小学校,21
少林寺,19
浜寺,17
三宝,19
若松台,15
石津,16
登美丘,17
深井,16
美原,9
金岡南,17
高石消防署高師浜出張所,16
豊中市千成,21
豊中市千里,23
豊中市役所,22
吹田市垂水,20
吹田市北消防署,20
吹田市高野台,18
東大阪市西保健センター,21
東大阪市六万寺,13
東大阪市環境衛生検査センター,14
楠葉,11
枚方市役所,21
王仁公園,20
高槻北,17
庄所,18
八尾市保健所,10
成田,
寝屋川市役所,20
