局名,ppb
西部コミュニティセンター,15
国設大阪,18
茨木市役所,9
高石中学校,26
池田市立南畑会館,43
大東市役所,12
府立修徳学院,14
貝塚市消防署,40
島本町役場,8
富田林市役所,29
南海団地,39
泉南市役所,40
緑ケ丘小学校,38
三日市公民館,28
藤井寺市役所,22
岸和田中央公園,33
佐野中学校,38
泉大津市役所,27
豊能町役場,45
此花区役所,21
平尾小学校,18
野中小学校,25
桃谷中学校,11
大宮中学校,16
聖賢小学校,12
清江小学校,19
摂陽中学校,12
今宮中学校,18
九条南小学校,16
茨田北小学校,12
南港中央公園,6
出来島小学校,17
少林寺,18
浜寺,26
三宝,23
若松台,34
石津,22
登美丘,41
深井,35
美原,18
金岡南,29
高石消防署高師浜出張所,23
豊中市千成,23
豊中市千里,38
豊中市役所,16
吹田市垂水,20
吹田市北消防署,16
吹田市高野台,****
東大阪市西保健センター,12
東大阪市六万寺,14
東大阪市環境衛生検査センター,6
楠葉,11
枚方市役所,10
王仁公園,13
高槻北,****
庄所,21
八尾市保健所,16
成田,
寝屋川市役所,10
