局名,ppb
西部コミュニティセンター,19
国設大阪,30
茨木市役所,26
高石中学校,5
池田市立南畑会館,41
大東市役所,9
府立修徳学院,10
貝塚市消防署,16
島本町役場,0
富田林市役所,5
南海団地,30
泉南市役所,8
緑ケ丘小学校,12
三日市公民館,5
藤井寺市役所,5
岸和田中央公園,5
佐野中学校,13
泉大津市役所,9
豊能町役場,31
此花区役所,8
平尾小学校,3
野中小学校,19
桃谷中学校,3
大宮中学校,18
聖賢小学校,26
清江小学校,6
摂陽中学校,1
今宮中学校,6
九条南小学校,25
茨田北小学校,8
南港中央公園,1
出来島小学校,17
少林寺,6
浜寺,2
三宝,6
若松台,13
石津,5
登美丘,11
深井,3
美原,5
金岡南,7
高石消防署高師浜出張所,5
豊中市千成,11
豊中市千里,8
豊中市役所,11
吹田市垂水,15
吹田市北消防署,16
吹田市高野台,8
東大阪市西保健センター,2
東大阪市六万寺,23
東大阪市環境衛生検査センター,0
楠葉,3
枚方市役所,15
王仁公園,12
高槻北,****
庄所,9
八尾市保健所,1
成田,
寝屋川市役所,13
