局名,ppb
西部コミュニティセンター,43
国設大阪,41
茨木市役所,37
高石中学校,37
池田市立南畑会館,43
大東市役所,43
府立修徳学院,36
貝塚市消防署,37
島本町役場,30
富田林市役所,38
南海団地,32
泉南市役所,28
緑ケ丘小学校,37
三日市公民館,18
藤井寺市役所,40
岸和田中央公園,39
佐野中学校,36
泉大津市役所,37
豊能町役場,24
此花区役所,38
平尾小学校,39
野中小学校,42
桃谷中学校,40
大宮中学校,41
聖賢小学校,40
清江小学校,38
摂陽中学校,35
今宮中学校,39
九条南小学校,39
茨田北小学校,42
南港中央公園,30
出来島小学校,39
少林寺,38
浜寺,40
三宝,39
若松台,38
石津,40
登美丘,40
深井,40
美原,33
金岡南,40
高石消防署高師浜出張所,38
豊中市千成,43
豊中市千里,37
豊中市役所,41
吹田市垂水,41
吹田市北消防署,40
吹田市高野台,39
東大阪市西保健センター,40
東大阪市六万寺,38
東大阪市環境衛生検査センター,38
楠葉,34
枚方市役所,39
王仁公園,35
高槻北,****
庄所,39
八尾市保健所,37
成田,
寝屋川市役所,37
