局名,ppb
西部コミュニティセンター,2
国設大阪,13
茨木市役所,7
高石中学校,14
池田市立南畑会館,13
大東市役所,6
府立修徳学院,14
貝塚市消防署,28
島本町役場,7
富田林市役所,19
南海団地,33
泉南市役所,31
緑ケ丘小学校,25
三日市公民館,16
藤井寺市役所,13
岸和田中央公園,25
佐野中学校,22
泉大津市役所,18
豊能町役場,10
此花区役所,2
平尾小学校,13
野中小学校,2
桃谷中学校,9
大宮中学校,2
聖賢小学校,6
清江小学校,14
摂陽中学校,11
今宮中学校,14
九条南小学校,4
茨田北小学校,2
南港中央公園,2
出来島小学校,4
少林寺,15
浜寺,19
三宝,13
若松台,21
石津,19
登美丘,24
深井,21
美原,11
金岡南,14
高石消防署高師浜出張所,17
豊中市千成,1
豊中市千里,2
豊中市役所,7
吹田市垂水,9
吹田市北消防署,13
吹田市高野台,5
東大阪市西保健センター,7
東大阪市六万寺,17
東大阪市環境衛生検査センター,3
楠葉,7
枚方市役所,5
王仁公園,3
高槻北,****
庄所,13
八尾市保健所,7
成田,
寝屋川市役所,4
