局名,ppb
西部コミュニティセンター,9
国設大阪,11
茨木市役所,16
高石中学校,21
池田市立南畑会館,12
大東市役所,19
府立修徳学院,29
貝塚市消防署,27
島本町役場,12
富田林市役所,21
南海団地,39
泉南市役所,38
緑ケ丘小学校,27
三日市公民館,25
藤井寺市役所,31
岸和田中央公園,30
佐野中学校,27
泉大津市役所,24
豊能町役場,12
此花区役所,9
平尾小学校,7
野中小学校,19
桃谷中学校,10
大宮中学校,9
聖賢小学校,13
清江小学校,****
摂陽中学校,18
今宮中学校,****
九条南小学校,18
茨田北小学校,19
南港中央公園,****
出来島小学校,****
少林寺,26
浜寺,19
三宝,26
若松台,35
石津,21
登美丘,20
深井,18
美原,13
金岡南,19
高石消防署高師浜出張所,21
豊中市千成,16
豊中市千里,25
豊中市役所,24
吹田市垂水,14
吹田市北消防署,20
吹田市高野台,17
東大阪市西保健センター,7
東大阪市六万寺,19
東大阪市環境衛生検査センター,0
楠葉,8
枚方市役所,15
王仁公園,20
高槻北,****
庄所,11
八尾市保健所,3
成田,
寝屋川市役所,23
