局名,ppb
西部コミュニティセンター,19
国設大阪,29
茨木市役所,18
高石中学校,25
池田市立南畑会館,35
大東市役所,25
府立修徳学院,25
貝塚市消防署,35
島本町役場,14
富田林市役所,24
南海団地,38
泉南市役所,35
緑ケ丘小学校,30
三日市公民館,21
藤井寺市役所,21
岸和田中央公園,30
佐野中学校,30
泉大津市役所,30
豊能町役場,19
此花区役所,31
平尾小学校,26
野中小学校,30
桃谷中学校,17
大宮中学校,18
聖賢小学校,23
清江小学校,24
摂陽中学校,14
今宮中学校,22
九条南小学校,27
茨田北小学校,10
南港中央公園,24
出来島小学校,29
少林寺,27
浜寺,29
三宝,26
若松台,25
石津,30
登美丘,27
深井,29
美原,19
金岡南,30
高石消防署高師浜出張所,27
豊中市千成,22
豊中市千里,22
豊中市役所,31
吹田市垂水,31
吹田市北消防署,26
吹田市高野台,13
東大阪市西保健センター,18
東大阪市六万寺,32
東大阪市環境衛生検査センター,16
楠葉,14
枚方市役所,9
王仁公園,22
高槻北,****
庄所,21
八尾市保健所,20
成田,
寝屋川市役所,11
