局名,ppb
西部コミュニティセンター,17
国設大阪,21
茨木市役所,16
高石中学校,9
池田市立南畑会館,44
大東市役所,15
府立修徳学院,14
貝塚市消防署,20
島本町役場,2
富田林市役所,9
南海団地,26
泉南市役所,16
緑ケ丘小学校,11
三日市公民館,5
藤井寺市役所,9
岸和田中央公園,8
佐野中学校,17
泉大津市役所,14
豊能町役場,27
此花区役所,28
平尾小学校,13
野中小学校,24
桃谷中学校,4
大宮中学校,8
聖賢小学校,19
清江小学校,8
摂陽中学校,4
今宮中学校,5
九条南小学校,16
茨田北小学校,12
南港中央公園,24
出来島小学校,35
少林寺,10
浜寺,7
三宝,8
若松台,14
石津,9
登美丘,16
深井,9
美原,7
金岡南,12
高石消防署高師浜出張所,10
豊中市千成,23
豊中市千里,16
豊中市役所,22
吹田市垂水,17
吹田市北消防署,22
吹田市高野台,17
東大阪市西保健センター,3
東大阪市六万寺,24
東大阪市環境衛生検査センター,2
楠葉,9
枚方市役所,15
王仁公園,18
高槻北,****
庄所,14
八尾市保健所,8
成田,
寝屋川市役所,16
