局名,ppb
西部コミュニティセンター,33
国設大阪,34
茨木市役所,35
高石中学校,29
池田市立南畑会館,39
大東市役所,31
府立修徳学院,31
貝塚市消防署,30
島本町役場,35
富田林市役所,34
南海団地,28
泉南市役所,23
緑ケ丘小学校,28
三日市公民館,11
藤井寺市役所,36
岸和田中央公園,30
佐野中学校,20
泉大津市役所,28
豊能町役場,41
此花区役所,31
平尾小学校,34
野中小学校,32
桃谷中学校,33
大宮中学校,32
聖賢小学校,33
清江小学校,****
摂陽中学校,32
今宮中学校,****
九条南小学校,33
茨田北小学校,35
南港中央公園,****
出来島小学校,****
少林寺,33
浜寺,33
三宝,33
若松台,34
石津,34
登美丘,32
深井,28
美原,27
金岡南,34
高石消防署高師浜出張所,30
豊中市千成,33
豊中市千里,38
豊中市役所,38
吹田市垂水,34
吹田市北消防署,40
吹田市高野台,36
東大阪市西保健センター,33
東大阪市六万寺,34
東大阪市環境衛生検査センター,30
楠葉,30
枚方市役所,19
王仁公園,20
高槻北,****
庄所,34
八尾市保健所,33
成田,
寝屋川市役所,25
