局名,ppb
西部コミュニティセンター,33
国設大阪,33
茨木市役所,29
高石中学校,47
池田市立南畑会館,42
大東市役所,47
府立修徳学院,****
貝塚市消防署,48
島本町役場,35
富田林市役所,****
南海団地,45
泉南市役所,51
緑ケ丘小学校,50
三日市公民館,54
藤井寺市役所,50
岸和田中央公園,47
佐野中学校,****
泉大津市役所,47
豊能町役場,52
此花区役所,29
平尾小学校,31
野中小学校,35
桃谷中学校,36
大宮中学校,31
聖賢小学校,36
清江小学校,43
摂陽中学校,38
今宮中学校,32
九条南小学校,28
茨田北小学校,36
南港中央公園,31
出来島小学校,15
少林寺,44
浜寺,52
三宝,46
若松台,54
石津,47
登美丘,55
深井,53
美原,47
金岡南,****
高石消防署高師浜出張所,38
豊中市千成,35
豊中市千里,33
豊中市役所,35
吹田市垂水,39
吹田市北消防署,41
吹田市高野台,43
東大阪市西保健センター,45
東大阪市六万寺,51
東大阪市環境衛生検査センター,45
楠葉,38
枚方市役所,45
王仁公園,45
高槻北,****
庄所,38
八尾市保健所,44
成田,
寝屋川市役所,44
