局名,ppb
西部コミュニティセンター,4
国設大阪,6
茨木市役所,8
高石中学校,26
池田市立南畑会館,11
大東市役所,10
府立修徳学院,26
貝塚市消防署,36
島本町役場,7
富田林市役所,30
南海団地,51
泉南市役所,48
緑ケ丘小学校,34
三日市公民館,24
藤井寺市役所,29
岸和田中央公園,33
佐野中学校,36
泉大津市役所,34
豊能町役場,11
此花区役所,3
平尾小学校,19
野中小学校,3
桃谷中学校,18
大宮中学校,5
聖賢小学校,3
清江小学校,20
摂陽中学校,19
今宮中学校,26
九条南小学校,6
茨田北小学校,3
南港中央公園,1
出来島小学校,8
少林寺,21
浜寺,28
三宝,19
若松台,35
石津,22
登美丘,35
深井,35
美原,22
金岡南,26
高石消防署高師浜出張所,21
豊中市千成,2
豊中市千里,14
豊中市役所,6
吹田市垂水,4
吹田市北消防署,11
吹田市高野台,2
東大阪市西保健センター,16
東大阪市六万寺,25
東大阪市環境衛生検査センター,4
楠葉,14
枚方市役所,9
王仁公園,10
高槻北,****
庄所,4
八尾市保健所,16
成田,
寝屋川市役所,4
