局名,ppb
西部コミュニティセンター,3
国設大阪,8
茨木市役所,4
高石中学校,8
池田市立南畑会館,19
大東市役所,8
府立修徳学院,16
貝塚市消防署,9
島本町役場,4
富田林市役所,11
南海団地,29
泉南市役所,22
緑ケ丘小学校,10
三日市公民館,9
藤井寺市役所,10
岸和田中央公園,8
佐野中学校,14
泉大津市役所,7
豊能町役場,10
此花区役所,1
平尾小学校,7
野中小学校,3
桃谷中学校,7
大宮中学校,5
聖賢小学校,7
清江小学校,8
摂陽中学校,7
今宮中学校,8
九条南小学校,9
茨田北小学校,6
南港中央公園,3
出来島小学校,2
少林寺,5
浜寺,6
三宝,4
若松台,15
石津,4
登美丘,10
深井,8
美原,9
金岡南,11
高石消防署高師浜出張所,6
豊中市千成,2
豊中市千里,1
豊中市役所,0
吹田市垂水,1
吹田市北消防署,2
吹田市高野台,1
東大阪市西保健センター,7
東大阪市六万寺,22
東大阪市環境衛生検査センター,3
楠葉,3
枚方市役所,0
王仁公園,9
高槻北,****
庄所,4
八尾市保健所,3
成田,
寝屋川市役所,1
